"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HORVU.MOREX.r3.1HG0001030",16.3380534467757,1.70835401312159e-06,0.00144269138852236,0.326389960566005,0.999875898879627
"HORVU.MOREX.r3.1HG0001050",0.219625740413971,-2.01643865718355e-07,0.00144269499620935,0.695071078774921,NA
"HORVU.MOREX.r3.1HG0001070",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001100",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001110",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001120",837.913934480326,4.95866577826745e-06,0.00144265429447745,0.385299239174338,0.999875898879627
"HORVU.MOREX.r3.1HG0001130",1296.10586080493,8.3955336650577e-06,0.00144261041958679,0.437448269933314,0.999875898879627
"HORVU.MOREX.r3.1HG0001140",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001150",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001180",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001190",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001210",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001220",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001230",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001250",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001260",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001270",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001280",1162.95172063147,1.30907001525862e-06,0.00144269287293795,0.971791760450518,0.999875898879627
"HORVU.MOREX.r3.1HG0001330",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001350",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001400",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001410",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001420",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001430",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001450",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001460",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001470",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001480",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001490",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001510",1.06451655886986,9.57536931750657e-08,0.00144269469879976,0.848463497622167,NA
"HORVU.MOREX.r3.1HG0001530",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001540",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001550",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001560",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001570",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001580",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001590",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001600",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001610",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001620",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001630",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001640",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001650",1.5189687773522,6.74545247204423e-07,0.00144269448534846,0.323097489825665,NA
"HORVU.MOREX.r3.1HG0001660",6.09612964147958,1.75501661408799e-06,0.0014426935658969,0.151105880630408,NA
"HORVU.MOREX.r3.1HG0001670",89.4652188634916,-2.32587540086202e-06,0.00144268754775792,0.345430130685421,0.999875898879627
"HORVU.MOREX.r3.1HG0001690",0.132835694317032,1.45675774924356e-07,0.00144269498762142,0.840823533975817,NA
"HORVU.MOREX.r3.1HG0001700",5.01778146437147,3.15537693072456e-07,0.0014426926188438,0.813783384309281,NA
"HORVU.MOREX.r3.1HG0001720",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001730",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001750",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001760",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001770",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001780",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001790",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001800",0.413399006948925,9.43701665239975e-08,0.00144269490257228,0.796375680031093,NA
"HORVU.MOREX.r3.1HG0001810",0.567075117899223,-7.78709998112762e-08,0.00144269486049516,0.85053345977433,NA
"HORVU.MOREX.r3.1HG0001820",4.38434233718893,-8.91367837485737e-07,0.00144269286434697,0.48917312350855,NA
"HORVU.MOREX.r3.1HG0001840",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001850",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001880",0.361613048292841,2.23314508091896e-07,0.00144269500360072,0.570387995490614,NA
"HORVU.MOREX.r3.1HG0001890",7.15076181257439,5.25249022368491e-07,0.00144269234874822,0.710314793380587,NA
"HORVU.MOREX.r3.1HG0001910",5.3417332577448,-7.81834650514178e-07,0.00144269289499808,0.539694048963053,NA
"HORVU.MOREX.r3.1HG0001920",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001930",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001940",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001950",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001980",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0001990",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002010",50.263679778943,-2.16484089539352,0.632639174784708,2.13167660351109e-05,0.0302455660085214
"HORVU.MOREX.r3.1HG0002020",279.090917511517,-1.69114391057707,0.495361554626692,2.15577804764942e-05,0.0302455660085214
"HORVU.MOREX.r3.1HG0002040",67.4577744754327,-7.13038815385666e-07,0.00144268130354096,0.819840326086645,0.999875898879627
"HORVU.MOREX.r3.1HG0002050",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002060",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002080",269.994599346027,2.29750102317608e-07,0.00144266850364638,0.959763656974874,0.999875898879627
"HORVU.MOREX.r3.1HG0002090",0.132835694317032,1.45675774924356e-07,0.00144269498762142,0.840823533975817,NA
"HORVU.MOREX.r3.1HG0002100",0.570727792881637,-2.42500887323163e-07,0.00144269501701334,0.446184637494527,NA
"HORVU.MOREX.r3.1HG0002130",235.08520413281,-3.50394154436484e-06,0.00144266587487839,0.459835433559314,0.999875898879627
"HORVU.MOREX.r3.1HG0002140",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002160",580.75920686241,-3.63411669690254e-06,0.00144266195343534,0.470901391976719,0.999875898879627
"HORVU.MOREX.r3.1HG0002170",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002180",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002190",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002200",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002210",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002220",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002230",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002260",1.21743823717658,-1.94497955370899e-07,0.00144269488377026,0.821367885461722,NA
"HORVU.MOREX.r3.1HG0002280",30.6569586717326,1.66736505235307e-07,0.00144269261872449,0.90302427457584,0.999875898879627
"HORVU.MOREX.r3.1HG0002320",160.779239923203,-1.12258447311292e-06,0.00144268199078671,0.714816056392175,0.999875898879627
"HORVU.MOREX.r3.1HG0002330",2137.81554713011,5.74361570623473e-07,0.001442652365694,0.919365093015135,0.999875898879627
"HORVU.MOREX.r3.1HG0002340",592.822021656081,3.76557222144375e-06,0.00144264381260218,0.546268936181184,0.999875898879627
"HORVU.MOREX.r3.1HG0002350",5705.50590119978,-4.47925595892994e-06,0.00144267885044682,0.233954869771422,0.999875898879627
"HORVU.MOREX.r3.1HG0002380",0.247435387207792,-1.83486345653747e-07,0.00144269499645926,0.675329651310747,NA
"HORVU.MOREX.r3.1HG0002390",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002400",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0002410",18.8908240816397,3.14719743078443e-06,0.00144269281834191,0.0664391030011582,0.999875898879627
